サークル名,著者,キーワード,ジャンル詳細,詳細ページ,Webサイト,設営場所
"Guri-Tech","ぐり","BLE,C,ProMicro,ThinkPad,Type,USB","BLEセパレートキーボードを作ってみた1とUSB Type-C搭載ProMicroとThinkPad修理本。BLEセパレートキーボードの新刊はありません。","https://techbookfest.org/event/tbf06/circle/40220003","","う06"
"Pastry Keyboard","foostan","","自作キーボードに関する書籍を頒布します","https://techbookfest.org/event/tbf06/circle/60020001","","う07"
"riconken","riconken","ビルドログ","自作キーボード入門者に向けたキットや、ビルドログをまとめた本などを頒布する予定です。","https://techbookfest.org/event/tbf06/circle/61820002","https://riconken.bitbucket.io/hifumi/","う08"
"天高工房","天高（てんこう）","HHKB,QMKcompatible,split","QMKcompatibleキーボードを扱うためのあれこれの本、およびキーボードキット（HHKB split予定）","https://techbookfest.org/event/tbf06/circle/54770003","https://skyhigh-works.hatenablog.com/","う09"
"無限まゆげ","まゆげ","ガラケー","ガラケーのようにボタンを連打して入力する、ゆるい自作キーボードの製作日記や製作ノウハウ本を出します。","https://techbookfest.org/event/tbf06/circle/50450001","https://twitter.com/FRie_D_SAKANA?s=09","う10"
"ZOB.Club","速水　祐","CPU,Intel,x","Intel x64 CPUアーキテクチャのアセンブラによる高速プログラミング・テクニック","https://techbookfest.org/event/tbf06/circle/40060004","http://zob.club","う11"
"うずうずアライグマ","うずうずアライグマ","/）,Computer,Design,Edition,Icarus,MIPS,Organization,RISC,V,Verilog,and,friends,guideline,https,jp,kemono,ゅうちほ,パタヘネ,フレンズ,フレンズプロジェクト,ー","フレンズと学ぶ、VerilogによるRISC-Vサブセット実装（Icarus Verilogシミュレーター使用）　　   [帯文] はかせたちフレンズと学ぶ、ちきゅうちほーで一番やーさしーRISC-Vサブセット実装本だよ。 「Computer Organization and Design RISC-V Edition」（パタヘネ本）の説明で出てくる単一サイクルのRISC-Vサブセットを、「デジタル回路設計とコンピュータアーキテクチャ」（ハリス本）のVerilogによるMIPSの実装を参考にして実装するよ。自学にもいいよ！  ※けものフレンズプロジェクト二次創作ガイドライン（https://kemono-friends.jp/guideline/）を遵守します。","https://techbookfest.org/event/tbf06/circle/40480001","","う12"
"電脳律速","BOSUKE","BIOS,FPGA,Python,UEFI","UEFI BIOSの機能や仕組みについてほんのり詳しくなれる本・株とPythonでお金儲けを目指すための本・仮想通貨のマイニングをFPGAで高速化するために必要な技術を解説した本　を頒布予定です。","https://techbookfest.org/event/tbf06/circle/65710003","https://d-rissoku.net/","う13"
"国際ソブリ協会","crs","GIS,IoT,Linux","Linux, 電子工作、IoT,GISなどを中心に旬ネタ時事ネタで思いつくまま本を書きます。","https://techbookfest.org/event/tbf06/circle/56500002","http://soburissive.github.io/","う14"
"空と月","じむ、余熱、綾瀬ヒロ、Pochio","D,FlashAir,LAN,PC,SD","無線LAN内蔵SDカード「FlashAir」をレトロPCや3Dプリンタなどで便利に活用するための設定方法や、活用事例などを初心者向けに解説。","https://techbookfest.org/event/tbf06/circle/50610002","http://yone2.net/sora_lua","う15"
